Model,MAE,MSE,R2
LinearRegression,82657.94605892913,10549721686.161837,0.9146454505137862
RobustRegression,199465.5595542928,61664910393.249344,0.5010881990728189
RidgeRegression,82659.67244409776,10549745186.670174,0.91464526037841
ElasticNet,99126.80843102589,15081376466.559591,0.8779812271613102
LassoRegression,82657.94662172231,10549717660.356375,0.9146454830853386
PolynomialRegression,82894.44818385724,10604968761.627369,0.9141984634389541
SGDRegressor,1.6677450033803604e+18,2.8378773942634286e+36,-2.2960392102304927e+25
ANN,199287.84808641582,61451953919.70821,0.5028111643225202
RandomForest,98409.51821082973,14970873484.503593,0.8788752727608871
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,126106.23065260366,25436897975.22673,0.7941978915092913
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
